CLUSTER_COUNT	STATUS	CLUSTER_SIZE	DATASET	RESOURCE_URI	CLUSTER_ID	ILN_GROUP	RESOURCE_URI_NEW
118	B	5	http://www.vondel.humanities.uva.nl/ecartico/persons/	http://www.vondel.humanities.uva.nl/ecartico/persons/4014	PH0fac0efe4fee0fd	1	http://www.vondel.humanities.uva.nl/ecartico/persons/4014
118	B	5	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26355694p1	PH0fac0efe4fee0fd	1	https://archief.amsterdam/indexen/deeds/48b8082d-27ce-4163-ae5a-c4a8f221ffad?person=961f6b1b-9288-53f7-e053-b784100aa83b
118	B	5	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26355804p1	PH0fac0efe4fee0fd	 	https://archief.amsterdam/indexen/deeds/e5245307-d4f2-47a4-9076-fd5e7ac72e11?person=961f6b1b-929e-53f7-e053-b784100aa83b
119	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24238421p2	PH287c68e73c015eb	1	https://archief.amsterdam/indexen/deeds/66155dc8-53db-4a4d-8528-9c9ac1a4c7c5?person=961f6ad6-9fc7-53f7-e053-b784100aa83b
119	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24271785p2	PH287c68e73c015eb	1	https://archief.amsterdam/indexen/deeds/ce34f894-2dcb-49cc-8be1-521c5e7bd12b?person=961f6af4-9fbd-53f7-e053-b784100aa83b
119	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24440065p2	PH287c68e73c015eb	1	https://archief.amsterdam/indexen/deeds/8d1b1a17-e8b1-47c5-ae21-b3ca6c1dfb27?person=961f6af5-5c57-53f7-e053-b784100aa83b
119	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24479722p2	PH287c68e73c015eb	1	https://archief.amsterdam/indexen/deeds/7af18186-ce61-4d08-8283-17f50fe129c0?person=961f6adf-2601-53f7-e053-b784100aa83b
119	G	6	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24586014p2	PH287c68e73c015eb	1	https://archief.amsterdam/indexen/deeds/89adc40c-434c-40d9-a16c-163b9b605ae8?person=961f6aee-866d-53f7-e053-b784100aa83b
119	G	6	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/	http://goldenagents.org/uva/SAA/person/IndexOpOndertrouwregister/saaId26340923p1	PH287c68e73c015eb	1	https://archief.amsterdam/indexen/deeds/bd909c18-290b-45b1-8a1c-841087c63fef?person=961f6b1a-025a-53f7-e053-b784100aa83b
120	G	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24238421p1	PH0ba2b1d5d7e8457	1	https://archief.amsterdam/indexen/deeds/66155dc8-53db-4a4d-8528-9c9ac1a4c7c5?person=961f6ad6-9fc8-53f7-e053-b784100aa83b
120	G	7	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/	http://goldenagents.org/uva/SAA/person/IndexOpDoopregister/saaId24271785p1	PH0ba2b1d5d7e8457	1	https://archief.amsterdam/indexen/deeds/ce34f894-2dcb-49cc-8be1-521c5e7bd12b?person=961f6af4-9fbe-53f7-e053-b784100aa83b
